,clock_error_ns,total_eph_error_m,ephemeris_error_x_m,ephemeris_error_y_m,ephemeris_error_z_m
15min,0.31223653567353726,0.2539688609977704,0.02627919370912002,0.2233005424835901,0.12360266632657058
30min,0.2868515420373555,0.23204307616166545,0.044844495122653164,0.2656150484209004,0.11537795461796185
1hr,0.2679789043564174,0.18689479121555785,0.09339211716059737,0.2295585878916118,0.18512996555824915
2hr,0.33663795318856626,0.17492572008886617,0.13469334780935383,0.20255664548615257,0.15236274392694732
